tweet,hatespeech
user user user provokasi mayat politisasi agama sebab kalah pilkada dki   cara cebong deskripsi kalah junjung fyi ahog blm pernah ikut pilih apa kec jd wakil dia bukan etnis mayorita,1
user gua nete,1
user lol,1
takabur lahir siapa kuasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp ibadah atus th laknat krn hasud takabburnya hanya orang ahli ilmu filsafat yg tdk failosof kita demo   diri sendi,0
a i orang suka konserkonser sedikit boros,0
kapan makan racun banyak ulama kata hukum rokok mubah ada i,0
s susilo bambang yudhoyono presiden ri minta khofifah emil dekat masyarakat no baguss khofifahemilnomer,0
user biasa ngomonv homo,1
suka f video user url awal kisah seteru haji bolot amp malih tongtong,0
budaya sungguh,0
user user user user xfxfxexb la la lahm hmm xfxfxexa semua diam semua bisunkita coba tanya sama rumput yg goyang l nxexxabxexxabxexxabxexxaaxexxaaxexxaa,0
apabila waswas bisik setan kepada minta lindung allah qs alaxexxraf fushilat,0
user user user user user user user r klw ente atheisngapain sibuk dgn agama orang,0
jokowi bangsat,1
user selamat hari kartini,0
rt bajing homonhati anak mandi jgn biar,1
user,1
budaya user indonesia,0
user orang solata ajah ngajarin aseng hanya pecah belah islam,0
user x lo ngomong aja kaga bener bangke,1
user user semua pernah negara yg negara suatu hari akan jajah rana dapat kespembubaran sistem beraja percaya kini jadi negara republik komunis padahal negara jaja,0
i masih nikmat bijak dulu usul pki lha yo opo,1
kalo umpama orang cina usir e indonesia gimana,1
user bunda ngentot b yuk,1
rt user china babi china,1
bung karno anti asing beliau jawa coba deh adain konsensus lebih banyak mana jawa anti asing pro asing keboohannya nnkalau keliru c tutup akun,0
proyek korupsi n sby url,1
user wajar lihat tingkah bbrp petinggi negeri yg suka t campur bhs indonesia dgn bhs asing kali bicara,0
ab pribadi yg senang kompetisi k hal baik positif,0
user user terus mendadakkalap kitab suci agama apa yg bilang om user lo,1
user tutup nutup mata kaga suka udah lihat tutup gara sipit,0
user sy sbg muslim tdk rasa pak user nista kitab suci alquran krn dlm alquran sndri bbrp suku kata yg smpai dtik blm tahu mkna yakin olh umat islam tp faktual kata tsb makna yg sirat fiksi yg blm,0
user eh kasar a kampang,1
album gua rilis bentar the ontas wkwkwkwkwk,0
user benar bang rasa paling cebong,1
ngetwit banget gw najis apa barusan wey,1
s kamu transgender gmn anjing url,1
bintit titit,1
user user bawel baper bolot baik bodor y gaje wkwk apa udah aja deh,1
user user user user gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk paham lu teriakin aja kafir sesat liberal k puja dukun bla blaaa hati puas dehh,1
jokowi,1
user user masa a kena hestek aja udah panas kepo banget gantipresiden,1
maju lu sini duit kau goyang kaki tak buat pape nak url,1
user hkbp diri sejak pecah kristen khatolik zaman jajah belandadl tdk yg s kristen protestan yg cm kristen khatoliknterjadilah pecah diri hkbp yg prtama kali tarutungnnnah skrg sy k,0
ha ha banyak baca g biar pintar jepang amerika china utang sama siapa tau enggak,0
prabowo jokowi citra pilu,1
n user user yang takut adzan iblis,0
user user yg goblog adalah bani cebong tukang tipu jilat kuasa yg p tahu gerakin masa yg bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1
user user user user wuih sewotnxfxfxxxfxfxxxfxfxx cebong,1
gera tekan penting kerja keras total tingkat k bangsa,0
padahal gubernur ini djarot mayoritas partai politik dprd dukung ahok djarot u mereka user url,1
user systeamnya cari pasti kpk alat perintah ulang engah pernah selesai organisasi,0
orang orang h saling tuding antek aseng aseng sungguh tepuk tangan,0
user nah anti kata loh aseng,0
pak selamat user moga terus kiprah bahkan tingkat nasional,0
u asyikmnang sih ikut ulama,0
user saya tahu ketapang banyak tka asing yg kerja bagai usaha masuk pt who tambang bouksid yg viral pilpres dulu ndan jadi karena kerja s tsb jadi era gubernur cornelis wakil ora,0
user anak pecun ga u jauh dr hobi zina haha,1
que bom sbbsnsn,0
user istirahat aja pak presiden momentum lalu pernah jadi saksi t mata awal rapat bentuk pd pacitan tahun,0
house select committee on assassinations hsca temu cacat investigasi laku fbi e warren commission hsca simpul empat tembak laku mungkin dapat konspirasi dalam,0
tahun april pilpres tahun negara presiden moga senantiasa lancar amin,0
user ian r,1
user user ngakunya org pintar u agama emang agama mana yg boleh nista hujat org jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun kita hrs hargain sama cipta tuhan ingat iblis juga pintar sangat licik,1
daftar capres pilpres belum a agustus normatif begini politikus pdip belum paham gantipresiden,1
si tolol udah tau perintah rezim h komunis bobrok koruptor pimpin sidang dpr paya cebong url,1
dulu bapak w mantan w selalu ampe pikir gabisa tidur w ngerasa jadi anak laki,1
cina usak bangsa j stuju,1
r gantipresiden scra konstitusional hak rakyat woiii gin nih kalo planga plongo laku otoriter,1
kita wujud pilkada s bengkulu aman damai cokiadem heru,0
mau tanya serius sm presiden jokowi knp a yg cm islam nusantaraknp tdk kristen nusantarabudhahindu bahkan kong huchu nusantara,0
korsa nyata moeldoko bukti istana takut bangkit islam umat,0
cowo jago drasex mana sini ngentot p sama adek luvian,1
user kroasia kapir tauuungapain sorga sm kapirudh lupa sm kapling blajar,1
user user loh bukan nya tri suharto yg homo,1
gue tau loh bukan dulu s masih culun cemen semua orang akan ubah perlahan entah baik buruk,0
perang k salib dulu raja afrika bagi yakni babilonia peluk kristen tobaco peluk islam,0
kejar memang setorang cukup bangsad mana rupiah turun xfxfxxa,1
moga ada tindak lanjut lapor nista agama ade armando lubis langsung ketua umum fpi kh shobri laku bareskrim mabes polri gambir jakarta pusat selasa pukul wib perhaps user,1
user user user user bangke hajar,1
user user user e nonta mati klo banyak minum,1
url ahok tng mrka trus i hdpnya user user user user user user user,1
baru sul teng ekses akibat sandera t hutang china gantipresiden presidenbaru tetapjokowiganti,1
sebut hubrisvanity diri tinggi rubah manusia sombong buat manusia kutuk tuhandan buat sendiri,0
aku tanya tuju hatinlogikaku yg jawab ntapi hati cari tenangnaku tanya logika nhatiku sedih nku tak jawab wasiat yg beliau tinggal ndan aku mulai jadi asing asing mata manusia ntak apa duhai diri,0
user tak kurang taji nya kpk era initapi era juga a komitmen dlm berantas korupsi tdk spt era pak sby,1
rt user admin o partai tololnpartai o orang o,1
rt user s ting ting goyang hot dekat raffi ahmad nagita slavina kampung norak url,1
video ttg tka buat malaysia i kutip nyata di user,0
ppp pilkada buruburu tolak wacana jangan lewat dprd,0
random pagi bapak nyamperin meja kerja trus nanya pake bedak r apa sih biar muka bersih istri butek soalnyaningin ku jawab pake air wudhu ku kristen,0
user kampret ko gua user,1
memek a ken sodok kontol gede,1
jokowi aja mundur user tutup,1
ngomong user opo itumulut kok bancibeli kaca dulu lihat diri broo,1
user ratna si ontanada wonkehabisan obat yh,1
user tunggu komando imam bejat cabul user i beer xfxfxdxbannape bawa ulamandasar banj sempak,1
kabinet k beranta npemecah belah satu ad rezim,1
dih ngaku lebih pinter dr orang politik ngaca h dulu woyy tampang loe aja kxcxak orang bego user ckakakakak,1
pdiperjuanganmenang tambang dgn target proyek murah cina ntb contoh kasus pdip mau dasar,1
user user ga mu sama mulut buaya caya bwang,1
sby prabowo satu lawan mega jokowi peristiwa ulang pdip yg incumbent kalah mutlak sby tp jk jkwmegasby lawan prabowo a mk pilpres selesai jk poros pilpres mk salah satu lawan,0
rt user kayak banci sering lah mundur pilih lawan,1
bebal,0
akhir indonesia negara populasi muslim m besar dunia mana islam ini rupa musuh barat amp komunis dapat hambat agenda penting merekaobviously,0
umuh user user gt persibnpersib kunyuknxfxfxxxfxfxxxfxfxx,1
user user buat film muslim i pilih ahok mati di sholatin jamin laris,1
banu dgn banu banu kristen syriac satu beda ad tetep eloah yahwe syriac pake allah,0
user eh muka merah tu tak ni cendol bukan la setan cuaca skrg dpt panas,1
berita saracen diframing katak akan tim prabowo aniessandi katak media tumpah sakit hati seberulnya cebong ehe,1
giat bhabinkamtibmas brigpol mbs sihombing pd hari rabu april melaks sambang desa tatap muka sekaligus monitoring kamtibmas tuju d pilkada desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0
syg bgt ngeliat perempuan kyk gin gak status apa tp udah nemplok sm lakilaki l sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampung xexx viva url,1
user jgn lupa umat kang katolik minorutas lain diperhatika gubernur semua golong bukan satu golong,0
user user user ane cebong maren ngeyelnsitu maksa ane jadi cebong,1
user b lemah gerindra ada orang iniprabowo turun elektabilitasnya congor fadlizon spt durno,1
hari kali raya makna kali,0
foto memang bisu tpi milik banyak arti susah sush diartikansma kamu yg diartikanmau putus lanjut,0
user wakakakaka aku alam xfxfxxxfxfxxxfxfxxxfxfxx tetiba muncul grub wa an bani abd had aka n mbah ketika aku mek kenal beberapa orang xfxfxaxaxfxfxaxaxfxfxa,0
boekkk hebat bidang tkut nk tgur member sndiri n selalu wat pling ingt smpai skrg lawak klau gerak skrg gerakkn badan chubby tu,0
anak pekan dasar ekonomi baru jadi gerak utama ekonomi bandar beliau allahyarham tun abdul razak ds user hogohundi,0
user user hahaha sialaaan nih si user nyata klo lg laper presiden i sikat sama doi,0
user user user mau nasehat kali ga ugalan nih rezim eh ini negeri sdh keburu ancornah skrg ekonomi morat kacaoooooo marit,1
user aelaah silit kebeler ngapa dikasianin org makin sayang paknsetelah p sosmed gw baru sadar bbrapa di seitansai kemarinntar gw ceritain duuuhhh xfxfxaxaxfxfxaxaxfxfxx,1
user iya tdi r cacad,0
user tahun rakyat makan aspal beton adalah solusi jitu kurang miskin ahli cebong tukang tipu cebong mah t gitu goblok ketulungan plonga plongo akibat optimisme lebih gantipresiden,1
user aku yahya sempat baca ttg harun pernah yg belot kubu yahudi dgn freemasonry nyakdg suka ga percaya,0
maju sama gerak sama semua agama nderekgusmus,0
user user user user user user user user user user user user user user user user user user user user user,0
mukidikepedean l mudah jawab yg keras minta jawab yg keras siapa nama saya,0
hujat sekarang harap,1
user jelas sy bukan fitnah silah ban user apollinaris darmawan sebut alquran kitab r,1
monyet aja koloe dbilang saudra sma elo k hdupmu kok gin ya toe hati apa comberan user,1
body lufra scrub dg bhn dasar lidah buaya utk mlembabkn kulit j amp lbh bcahaya info bmi,0
user tak punya masa lalu,0
user user jangan anut teori datar xfxfxxdnsoalnya bumi bumi bulat kan orang asing yg notabane musuh,0
warga guna tenda tulis bukti,1
lebih t baik jokowi mundur,1
munas alim ulama ppp semarang hasil lima e rekomendasi syarat kriteriakriteria calon wakil presiden akan damping bpk jokowi datang romahurmuziy,0
luar nya,0
user user kafan budaya klaim,0
rezim skrg atas kendali negara cina komunis yg jokowi patron tunggal rezim anti islam mjd,1
d user user tanda nya mau pilkada n pilpres,0
misi royong selaras budaya luhur nojabarasyik,0
tabah pasang en taufiq puan nurliyana wajar contoh jom beri sumbang ringan a pasang come on twitter do your things bsn bank islam nurliyana bte abdul raziff,0
user apaansi tai baru gt doang belagunya udah langit ga inget karma ntar gua taun kalo idol lu flop bbrp ketawa paling keras,1
user user celeng kgn gw y,1
u teranginegeri budaya yuk visit purwokerto mumpung even rakyat purwokerto extravaganzabanyumas,0
punya taktis guna penting rakyat luar sudah soal program banyak infrastruktur sosial harga padat,0
user aamiin allah ntimnya kan aja latih ular dia rawarawa aku dapat di sungai a gede gt musuh buaya wkwkw,0
user user maju kamu ngatain mama p bolot,1
grombolan kadal jidat gosongmmg bgtu suka h klo grombolanya yg salah pura budekdasar grombolan cingkrang url,1
user user user segitu gentar c kafirxfxfxx,0
rt saracen akun kritis anggap saracen aneh jokowi,1
user siapa bego lu bukan tmn gua a dah kesel sendiri gue,1
user user kafir kristen selalu buat k,1
user tau dong bau udh bau cir sipit buluq,1
user kayak g bukan mucikari,0
guru tk dharma plumbon ujar issu dukung pilkada,0
user anjir t rem maennya begitu xfxfxxxfxfxxc,1
user kayak atau cuma k bank tentu bilang aja mau jual uang asingtukar rupiah,0
user user user w user onta yaman ninnsetahun gua deportasi loe,1
bau berita pilkada hatihati hoax madiun madiuntoday thmadiun kotakarismatikmadiun tolakcukaiilegal kunjung,0
user anak ini,1
user tau klu tuyg update jangan tong sampah ambil terus tau udah,1
mantaaap dm user,0
nyata lebah yg gak suka bangkai penasaran nya kaya gimana,0
user user pantas indonesia bentuk segala mundur,1
user user user user naahh yg dongo yg e hekell hahaha,1
user user user user hahahaha blunder lu cebong yg gak ngasih tuh pem pusat alas ham kalau rakyat aceh mau kali cobak kau datang perintah bilang suruh a buat hukum islam kaffah aceh klau dpr a,1
bangsad gua dah nyelem lgi bawah balik ampe atas,1
tak dipancingpancing dgn hanya paham fiksi suci,0
user user user user cebong kacung kt temen sm dungu sampe tulang sumjd jgn buang energi debat gw merekaxfxfxx,1
user partai korupsi l sapigoblog,1
signal kntl niat twitter doank susah gmn open redtube,1
user user matane kafir moh aku aku wkwkwk,0
user jadi a inget fesbuk anjir lupa aku,1
kalo user aing sih bakal bilang hilih kntl,1
nikita mirzani udah s pake hijab yg ngomong cebang cebong udah pernah fantasiin doi bom uh ah cokorers,1
user tatap alih arah enggan tidur pria curiga lagipula siapa pertama kali buat gaduh suasana angie temu orang pria asing tatap sofa jadi ini akan jadi,0
pisah kembang gera komunis indonesia dapat lahir buah organisasi yg nama isdv,0
shaheizy sam calpis baharu wajah,0
serah lo aja balas fokus kerja kerja tugas project seni budaya dalam hari telah nilai kumpul presentasi syukur langsung muas jadi project kami makin,0
bakal ga bro,0
laku t user masuk kategori buat menyenangkannnkelakuan sontoloyo user sangat menganggu satu bangsannkelakuan naif user tidak langsung sbg bentuk intimidasi thd ulamannkelakuan user,1
k turun mukim warga cibadak sukabumi url,0
user l ga masalah penting bahagia warga cebong mana ngerti,1
mau giveaway p meja nanti menang cuma therichchenle,0
rt tanpa buka satu satu kebusukab kubu anies sandi yg menang user berkah url prabowo usaha cuci tangan,1
user bang,1
user user bik kaya orang tapimemangbego begobro,1
sosial upaya perata ekonomi lalu tora kawasan hutan hutan klhk tribun medan,0
user pak user mahfud md berang allah swt paling bangsa ajak semua buang islam,1
user orang amp makan onta otak somplak,1
apa kuak semua jelas sejak u memang strategi kampanye di tim menang anies sandi url,1
warga baduy selesai n tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim hari sabtu sebabaduy,0
lembaga antikorupsi masa lalu bubar krn sentuh kuasa gilir kpk i pdip partai politik kuasa yg plg ngotot bubar kpk,1
user user user justru mas klo mnyudutkan salah satu agama trtentu malah bahayaitulah pak rocky cerdik bisa nyusun kalimat yg tepat amppantas dgunakaninti ini mau u kasih tau pngertian fiksi sbenarnyaayolah mas nya i,0
dukung capres gagal move on salalu sadar urus aseng bawa kabur uang rp t ngak sibuk aseng kabur bawa uang banyak tanpa dukung pribumi asu mustahil aseng pribumi diam kalau sogok mental kacung emang url,1
rt user user user lo rabun ngomongnxfxfxxxfxfxx budekngue nulis gak apa,1
nahan bismillah sepo kutuk,1
user brahahahaaa cebong nya r ngahok xfxfxaxaxfxfxaxa user cebong blm cebok xfxfxx user,1
kelar jancuk sekali mbut,1
user pak user walaupun muslim jabat negara harus s bangsa negara,0
yg sakit selamat bagus laik yg cacat user user,0
arti c apa pribumi sadar lihat siapa kalian samasama cina komunis misionaris abai tweet usir cina indonesia,1
presiden anda tuduh rezim anti islam banyak u negeri sudah bnyak u umat url,1
user manusia user bangsad,1
rt user tpi ingat jangan sampe cina haram wisata kenal jga indonesia hahaha,1
rt user s nanya mana prabowo pks bib kan asoy tuh anggap antek prabowo antek pks hidup lebih dramatis,1
jadi beda bukan dlm hubung beda warna sendiri dlm jalin lovrensalah bro,0
user user user sama aja lh laemeskipun sdh turun turun tp a pki sllu lekat jiwa mreka,0
rt user user juga sebel kalo yg ngeroko naik motor yakan kadang engap kalo tutup r macetxexxa,0
user user udah minta maaf kunyuk a user bronnenak bgt rasan merekasebar hoax minta maafsebar hoax minta maaf laginnmesti d sapu dulu user biar jera nih orang url,1
hello warga jakarta wakil kepala dpmptsp e provinsi dki jakarta bapak denny wahyu haryanto wakil wakil gubernur provinsi dki jakarta buka acara junior chamber international jci indonesia national event setiamelayanijakarta,0
kuat jaring gubernur user tekan perlu kuasa state of the art knowledge e lama rantau luar indonesia user,0
pandang tgb agama g,0
rt provider user brengsek,1
susilo bambang yudhoyono presiden ri minta khofifah emil dekat s no baguss,0
user user user dungu siapa mau ganti presiden tp g tau orang mikiiiir,1
rt user bokep cewek dalam xfxfxxnndownload,1
user kampret complain ditanggepi,1
kamu kok kaya mau gta jablay jemput pake mobil,1
a lihat memek tante,1
tukang user kerja musuh dakwah islam bubar hti rakyat jg hak lengser jokowok itu citra,1
user user user user hah kata saling lengkap orang bukti kamu goblok gimana a si,1
xexxctidakxexxd kata xexxckami rang orang merekaxexxd xexxckalau mereka munafikxexxd xexxctidak sebab orang muna,0
user user user user user user user user user user doyan nete un maklumin,1
user nek ndelok match terkhir celsi sih kudune menang a emyu yo embuh sih celsi kacrut ki raiso prediksi xfxfxx,1
user yakali k tni suruh urusin sampah plastik xfxfxx,0
user khawatir yg laku sebut akan pernah cinta,0
madi arya lapor rocky suci polisi serius tuh kitab gerung fiksi kata rocky nyata salah rasa hina wait bukankah biasa anut agama a anggap kitab suci,0
tengik bajing user memang,1
kok bs pake buruh cina kan rakyat sendiri bnyak pnganggurandasar rejim n kodok,1
user user user user user user user user user user user user user user user user user user user user,1
cute haneul rp padahal rlnya perekyang on retweet,1
user user user user user user user user user user user user bilang anti asing asengnda tau wkwkwkwkwk,0
sekolah radikal rakit jadi aman,0
rt user kadang hidup emang kayak tai malah i kadang berak orang tapi elo harus resin tainya tangan lo yxexxa,1
ih user banci selotipan xfxfxx,1
rt user user user user user user user haha m ni yee org jahat m,1
gubernurzamannow gusipulputi ganjaryasin djarotsihar kosterace keanekaragaman tutur,0
rt user user yg h orba meng idola kan prabowo amp hary tanoe d,1
nantang dada eh setan emang kamus pak presiden stresssssss hati kena stoke serang rakyat hilang politik merdeka,1
cebongxfxfxxxfxfxxnmaaf user user user belah duren yaaaangak dunguya gak user,1
yahudi beri kitab taurat,0
bubar hti amp url fpi,1
keras lampias lari lelaki lunak,1
user dar share temen aku kantor kalo langgan yg cadar langsung bilang awas bom aku hela nafas xfxfxxaf,0
rt user b mn nh pngen nusuk ditusuknxfxfxxopen bo wa n gaybrondong massageboy gayjakarta gayjogja gaytanggerxexxa,1
yg republik indonesia mas lapor dulu tegak hukum ancam,0
user orang nete,1
ngewe user bae,1
user jebur bloon g cebur,1
pks ultah balai kota rr ngomong nyapres aja kota ganti balai nama jd balai politik,0
pak user perlu s rencana user seret user adil ham pbb url,1
user bijak barang kpd barang rusak produksi dgn produk sebut hitung pembeliannhauzminiquiz hauzidnyuk,0
kisah hidup i muhammad lebih lengkap didownload sini,0
jajah atas bumi indonesia di hapus kan usir ekonomi budaya hasil bumi cina kita basmi nkri jajah,1
user user user user user user we pipis onta cecer mari pantes m pesing,1
user user kalo u jadi sini mungkin kalian yg triak paling lantang pmrth pro aseng duluan pas tawar bantu asing bikin posko itu yg inti malah ngomporin keluarga korban sue pmrth bilang hari lama harus,0
user user berjuangsampai jokowi dilanti thn njangan gentar njangan takut nwalau mata benang g ujung tombak di porut nntidak surut langkah kitantidak bisu suara kitantidak,0
rt user user user user user user user kaya monyet,1
survei metro tv jokowi menang presiden baru etapi cara ngitungnya gimana ngalahin jangan salah a maksud jokowi menang sumber zie bajrie,1
user user user user user user user user user user user user user user user user user user user user user user user,0
anime ni takagisan kalau rasa nak monyet zaman throwback habes,0
budaya pesta seru erau kuta kartanegara,0
rt user ad contactnya mau retweet sekarang yanbanyak banget kenal tante jilboob sangenini nama tante dea oxexxa,1
bukan ajang bukti balik ruang akademik pamer siapa paling ciamik kuat lemah bukan soal egosentris lebih l,0
duduk istana salamtahun sekali lengser jokowi negara user,1
user user wah hebat pak user yg lg sibuk citra user rt user user baca nih,1
user nista mungkin gk apa bagi muslim sangat hina iblis betina sdh anda syariat,1
rt teroris baby kafir budha user myanmar,1
blom url,1
kalau tidak jatenggayeng tetapjokowi,0
rt user nista ahok sok sok saramajikan tobat,1
user user katolik user saya follow bli saya user ikut akun prof user utk tambah wawas berbangsaterima kasih,0
user tuh si balik kecut,1
wibisono citra jokowi sebar up hasil massa pro asing kes jokowi media,1
rt user user user adi gaya lu kaya beruk gin klo u supir tembak metromini masuk dprnkampungan lu,1
user user km mengaartikan pintar bawa spt gw pinter komen ajah rejim now mangkrakin janji,1
user kan emang gw dongo,1
user user ih masak samain t smaa sampah xfxfxxaxfxfxxaxfxfxxa,0
user user user user gw terpukaukaukau gantipresiden,1
aspirasi ibu lina sumedang gubernur sdh warga,0
user user user user user yaaelah chat aja loe urusin noh yg dah liat mesum anggotadpr pd mingkem yg nyata selingkuh th kalian pura budek bong gk nyampe otak,1
user sejak saya kata tu dulu kita tak takut dgn cina parti dap kita bimbang fahaman bawa mereka,0
cermin diri,0
user lansung tag partainyanga kau arti berani banci,1
awwww comel nya asing kan ikut a warna,0
islam jadi manusia idealis tetap realistis siap hidup masa kini tak lupa masa depan ajak kerja a keras ajak istirahat,0
user kristus anjing asu jiamput keparat picek telek pejuh siwuk kotang siwuk b keparat picek telek pejuh siwuk kotang siwuk b keparat picek telek pejuh siwuk kotang siwuk b keparat picek telek pejuh siwuk kotang siwuk b keparat picek telek pejuh siwuk k,1
user khatolik kristen protestan ngak yg protestan nusantara agama hindu yg sebut hindu budha ngak yg budha lha kok,0
teknologi presiden sistem jalan langsung guna guna ratas,0
user user ahhh kan asa utk hibur diri mana g tdk bahagia presiden g punya tol g punya lha elo punya cuma germo xfxfxxxfxfxxxfxfxx,1
lebih jd hidup penuh main ftv aja url,1
n kristenngolongan darah bnasal san fernando valley,0
budha d muslim myanmar,1
user jahudi bangke minta sama jerman sana u ibadah,1
papamintaketuafraksi rakyat mau setya novanto bukan pecat ketua percuma pecat,1
user user user user cina,0
hoax bangsat karbitan munafik presidenbaru tenggelamkanjokowikesungaisiak,1
yg ribut komunis blabla mungkin emoh perintah yg baca kalo punya niat agitasi nyerang baca pake cari simpatisan,1
presiden jokowi harap skema lain sama juga laku dalam pembangunanpembangunan kerja,0
milu langsung biar bwt milih presiden n dpr sj capres biar tdk kyk kucing dlm karung mgkn bikin mekanisme e yg lebih misal capres tentu gubernur yg prestasi jd yg maju jd capres yg sdh jd gubernur,0
user gak vital gimanaudah kapan inter gak punya b bek kanan yg jd beda akhir ya era maicon dambrosio baru datang cancelo bagusnyanhmmmmberarti simpul yg geblek ausilio xfxfxxxf,1
nama user jg agama munafik,1
contoh meski banyak tuding duga jaksa kpk jokowi,1
pecun url,1
jadi konsumen wisata haji yg podusen jiarah indonesia,1
buru n nazi simon wiesenthal pegang fotofoto gambar mantan kepala gestapo walter rauff buah van kamar gas gerak buat eksekusi orangorang yahudi,0
rt user user yg cacimaki nyata agama nista tau poligami ngumpet apa mau digituin sih ogah,1
user bubarin nkri harga y mati,1
user ingat baikbaik kata jokowi fundamental rezim masuk dalam trap,1
g user user wkwkwkwk mampus aku mau pepet ujin ah,1
gubernur jaman now anti hoax bukan nyebar isu k ganjaryasinmenang ganjaryasin kamiganjaryasin,0
azan tv manggil allah swt dungu biadab e acara catut nama tuhan boleh lanjut,1
a user user user user semua dapat laku bani cebong,1
aku dah la baju macam yahudi betopi siap bas tu geng semua jubah putih n minyak atar bejanggut dahi bekuk bak ahli syurga siap ni betol out of place mohon ak tak direjam,0
user gua blacklist marah cuma auto ge hidup guennsampah apa guna kalo ga daur ulang,0
anjir rasanyaa bekas mah,1
cebong panas jadi ngawur,1
amin smoga kalian tiga jd tampil l baik sumbang medali buat sumsel,0
user user user user user user user user user user,0
