,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
70,rt user bajing homonhati anak utama kamar mandi laki jgn biar sendiri url,1,1,1,0,0,0,0,1,0,1,0,0
71,user iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
72,user budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,user ngajarin solata ajah orang aseng hanya pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,user x lo ngomong aja kaga bener bangke,1,1,1,0,0,0,0,0,1,1,0,0
75,user user semua pernah percaya yg negara suatu hari akan jajah rana dapat kespembubaran sistem beraja negara kini jadi negara republik komunis padahal negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
76,masih nikmat bijak dulu usul pki lha yo opo,1,0,0,1,0,1,0,0,0,0,1,0
77,kalo umpama orang cina usir paksa indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0
78,user bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,rt user china babi china malingnusirchina httpstcoyhiwhjp,1,1,0,1,0,1,0,0,0,0,0,1
80,bung karno anti asing beliau jawa coba deh adain konsensus lebih banyak mana jawa anti asing pro asing keboohannya nnkalau keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi rezim sby url,1,0,1,0,0,0,0,0,1,1,0,0
82,user wajar lihat tingkah bbrp petinggi negeri yg suka campur bhs indonesia dgn bhs asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi yg senang kompetisi hal baik positif,0,0,0,0,0,0,0,0,0,0,0,0
84,user user terus lo kitab suci agama apa yg bilang om user mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
85,user suka nutup mata kaga tutup udah lihat tutup gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
86,user sy sbg muslim tdk rasa pak user nista kitab suci alquran krn dlm alquran sndri bbrp suku kata yg smpai dtik blm tahu mkna faktual olh umat islam tp yakin kata tsb makna yg sirat fiksi yg blm,0,0,0,0,0,0,0,0,0,0,0,0
87,user eh kasar kau kampang,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar gua rilis album the ontas wkwkwkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
89,user cebong bang rasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
90,najis banget gw ngetwit apa barusan wey,0,1,0,0,0,0,0,0,0,0,0,0
91,kamu transgender gmn anjing url,1,1,1,0,0,0,0,1,0,1,0,0
92,user awas bintit lu ngintipin titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
93,user user bawel baper bolot baik bodor gaje wkwk apa udah aja deh,0,1,0,0,0,0,0,0,0,0,0,0
94,user user user user gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk paham lu teriakin aja kafir sesat liberal puja dukun bla blaaa hati puas dehh,1,1,1,0,1,0,0,0,0,1,0,0
95,jgn salah target bkn ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,user user masa baru kena hestek aja udah panas kepo banget gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju lu sini duit kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url,0,1,0,0,0,0,0,0,0,0,0,0
98,user hkbp diri sejak pecah kristen khatolik zaman jajah belandadl tdk yg nama kristen protestan yg cm kristen khatoliknterjadilah pecah diri hkbp yg prtama kali tarutungnnnah skrg sy k,0,0,0,0,0,0,0,0,0,0,0,0
99,ha ha banyak baca biar pintar jepang amerika china utang sama siapa tau enggak,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,user user yang takut adzan iblis,0,0,0,0,0,0,0,0,0,0,0,0
102,user user yg goblog adalah bani cebong tukang tipu jilat kuasa yg tahu gerakin masa yg bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
103,user user user user wuih cebong sewotnxfxfxxxfxfxxxfxfxx,1,1,1,0,0,0,0,0,1,1,0,0
104,gera tekan penting kerja keras total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,padahal gubernur ini djarot mayoritas partai politik dprd dukung ahok djarot payah mereka user url,1,0,1,0,0,0,0,0,1,1,0,0
106,user rezim rusak bukan baik systeamnya malah sibuk cari salah klu pasti ketemu aja kpk alat besok perintah ganti ulang engah pernah selesai siapa organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
107,orang orang saling tuding antek aseng aseng sungguh tepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
108,user nah loh kata anti aseng,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat pak user moga terus kiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,asyikmnang sih ikut ulama,0,0,0,0,0,0,0,0,0,0,0,0
111,user saya tahu ketapang banyak tka asing yg kerja bagai usaha masuk pt who tambang bouksid yg viral pilpres dulu ndan jadi karena kerja sama tsb jadi era gubernur cornelis wakil ora,0,0,0,0,0,0,0,0,0,0,0,0
112,user anak pecun ga jauh dr hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,user que bom sbbsnsn,0,0,0,0,0,0,0,0,0,0,0,0
114,user istirahat aja pak presiden momentum lalu pernah jadi saksi telinga mata awal rapat bentuk pd pacitan tahun,0,0,0,0,0,0,0,0,0,0,0,0
115,house select committee on assassinations hsca temu cacat investigasi laku fbi warren commission hsca simpul empat tembak laku mungkin dapat konspirasi dalam,0,0,0,0,0,0,0,0,0,0,0,0
116,user tak asa genap tahun datang april gelar hajat pilpres acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,user ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
118,user user ngakunya org pintar agama emang agama mana yg boleh nista hujat org jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun kita hrs hargain sama cipta tuhan ingat iblis juga pintar sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
119,daftar capres pilpres belum buka agustus normatif begini politikus pdip belum paham gantipresiden,1,0,0,1,0,0,0,0,1,0,1,0
120,si tolol udah tau perintah rezim komunis bobrok koruptor pimpin sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0
121,dulu bapak w kalau mantan mantan w selalu mgerasa sedih ampe pikir gabisa tidur lohh w ngerasa jadi anak yg brengsek aja gt laki,0,1,0,0,0,0,0,0,0,0,0,0
122,cina usak bangsa usir stuju,1,0,0,1,0,1,0,0,0,0,0,1
123,gantipresiden scra konstitusional hak rakyat woiii gin nih kalo planga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,kita wujud pilkada kota bengkulu aman damai cokiadem heru,0,0,0,0,0,0,0,0,0,0,0,0
125,mau tanya serius sm presiden jokowi knp yg cm islam nusantaraknp tdk kristen nusantarabudhahindu bahkan kong huchu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
126,korsa nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowo jago drasex mana sini ngentot sama adek luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,user kroasia kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,user user loh bukan nya tri suharto yg homo,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau loh bukan dulu masih culun cemen semua orang akan ubah perlahan entah baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,perang salib dulu raja afrika bagi yakni babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setorang memang cukup bangsad mana rupiah turun xfxfxxa,1,1,1,0,0,0,0,0,1,1,0,0
133,moga ada tindak lanjut lapor nista agama ade armando laku langsung ketua umum fpi kh shobri lubis bareskrim mabes polri gambir jakarta pusat selasa pukul wib perhaps user,1,0,1,0,1,0,0,0,0,1,0,0
134,user user user user user user user user bangke hajar,1,1,1,0,0,0,0,0,1,0,0,1
135,user user user nonta mati klo banyak minum,1,0,0,1,0,0,0,0,1,0,1,0
136,url ahok tng mrka trus waswas hdpnya user user user user user user user,1,0,1,0,0,0,0,0,1,1,0,0
137,baru sul teng ekses akibat sandera hutang china gantipresiden presidenbaru tetapjokowiganti,1,0,1,0,0,0,0,0,1,1,0,0
138,pride yunani xexbdxxcfxxcexbxcfxxcexbxcfxxcexbxcexbdxcexafxcexbhyperxcxphania keangkuhanharga dirikesombonganndikenal dengan sebut hubrisvanity harga diri tinggi rubah manusia sombong sombong buat manusia kutuk mata tuhandan buat manusia cinta diri sendiri,0,0,0,0,0,0,0,0,0,0,0,0
139,aku tanya tuju hatinlogikaku yg jawab ntapi hati tak tenangnaku tanya logika nhatiku sedih nku cari jawab wasiat yg beliau tinggal ndan aku mulai jadi asing asing mata manusia ntak apa duhai diri,0,0,0,0,0,0,0,0,0,0,0,0
140,user tak kurang taji nya kpk era initapi era juga komitmen dlm berantas korupsi tdk spt era pak sby,1,0,0,1,0,0,0,0,1,0,1,0
141,rt user admin tolol partai tololnpartai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
142,rt user ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampung norak url,0,1,0,0,0,0,0,0,0,0,0,0
143,video ttg tka buat malaysia kutip nyata di user,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp jangan buruburu tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi bapak nyamperin meja kerja trus nanya pake bedak apa sih biar muka bersih istri butek soalnyaningin ku jawab pake air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,user user ko gua kampret,0,1,0,0,0,0,0,0,0,0,0,0
147,memek lonte ken sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi aja yg mundur user tutup url,1,0,1,0,0,0,0,0,1,1,0,0
149,user ngomong opo itumulut kok bancibeli kaca dulu lihat diri broo,1,1,1,0,0,0,0,1,0,1,0,0
150,user amin rasisnada daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat tenang yh,1,1,1,0,0,0,0,0,1,1,0,0
151,user tunggu komando imam bejat cabul user taik beer xfxfxdxbannape bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet beranta npemecah belah satu ad rezim,1,0,0,1,0,0,0,0,1,0,1,0
153,dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja kxcxak orang bego user ckakakakak,1,1,1,0,0,0,1,0,0,1,0,0
154,pdiperjuanganmenang tekan usaha tambang dgn target proyek impossible lalu lelang murah antek cina ntb contoh kasus pdip mau menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0
155,user user ga caya sama mulut buaya mu bwang,1,1,1,0,0,0,0,0,1,1,0,0
156,sby prabowo satu lawan mega jokowi peristiwa ulang pdip yg incumbent kalah mutlak sby tp jk jkwmegasby lawan prabowo mk pilpres selesai jk poros pilpres mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,rt user user jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap saing pilih presidens lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,akhir indonesia negara populasi muslim besar dunia mana islam ini rupa musuh barat amp komunis dapat hambat agenda penting merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
160,user user umuh gt persibnpersib kunyuknxfxfxxxfxfxxxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
161,user user buat film muslim pilih ahok mati di sholatin jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,banu banu yahudi tentu beda dgn banu banu kristen syriac salah satu beda ad banu yahudi tetep pake eloah elohim yahwe syriac pake alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,user eh muka merah tu tak dpt cendol bukan la setan cuaca skrg ni panas,0,1,0,0,0,0,0,0,0,0,0,0
164,berita saracen diframing katak akan tim prabowo aniessandi seberulnya media tumpah sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhabinkamtibmas brigpol mbs sihombing pd hari rabu april melaks sambang desa tatap muka sekaligus monitoring kamtibmas tuju pilkada desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,syg bgt ngeliat perempuan kyk gin gak status apa tp udah nemplok sm lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampung xexx viva url,0,1,0,0,0,0,0,0,0,0,0,0
167,user jgn lupa kang umat katolik minorutas lain diperhatika gubernur semua golong bukan satu golong,0,0,0,0,0,0,0,0,0,0,0,0
168,user user user user kan ane bukan cebong udeh dibilangin maren ngeyelnsitu maksa ane jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0
169,user lemah gerindra ada orang iniprabowo turun elektabilitasnya congor fadlizon spt durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat hari kartini kali selalu raya lalu apa makna kali,0,0,0,0,0,0,0,0,0,0,0,0
171,foto memang bisu tpi milik banyak arti yg sush diartikansma kamu susah diartikanmau putus lanjut,0,0,0,0,0,0,0,0,0,0,0,0
172,user wakakakaka aku alam xfxfxxxfxfxxxfxfxxxfxfxx tetiba muncul grub wa an bani abd had aka mbah ketika aku mek kenal beberapa orang xfxfxaxaxfxfxaxaxfxfxa,0,0,0,0,0,0,0,0,0,0,0,0
173,abam pres badar n nuqaba pling boekkk ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak klau org ckp jom gerak skrg akn gerakkn badan yg chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
174,orang anak pekan ilham dasar ekonomi baru deb jadi gerak utama maju ekonomi luar bandar beliau allahyarham tun abdul razak ds user malaysiamemilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175,user user hahaha sialaaan nih si user nyata klo lg laper presiden mau sikat sama doi,0,0,0,0,0,0,0,0,0,0,0,0
176,user user user mau nasehat kali ga ugalan nih rezim eh ini negeri sdh keburu ancornah skrg ekonomi morat marit kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
177,user aelaah silit kebeler ngapa dikasianin org makin sayang paknsetelah kasus sosmed gw baru sadar bbrapa di seitansai kemarinntar gw ceritain duuuhhh xfxfxaxaxfxfxaxaxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
178,user iya tdi cacad,0,0,0,0,0,0,0,0,0,0,0,0
179,user tahun rakyat makan aspal beton adalah solusi jitu kurang miskin ahli cebong tukang tipu cebong mah gitu goblok ketulungan plonga plongo akibat optimisme lebih gantipresiden,1,1,0,1,0,0,0,0,1,0,1,0
180,user aku pernah sempat baca ttg harun yahya yg belot kubu yahudi dgn freemasonry nyakdg suka ga percaya,0,0,0,0,0,0,0,0,0,0,0,0
181,maju sama ulama gerak sama semua tokoh agama indonesia nderekgusmus,0,0,0,0,0,0,0,0,0,0,0,0
182,user user user user user user user user user user user user user user user user user user user user user,0,0,0,0,0,0,0,0,0,0,0,0
183,mukidikepedean tanya mudah jawab yg keras minta jawab yg keras siapa nama saya,0,0,0,0,0,0,0,0,0,0,0,0
184,user kemarin hujat sekarang harap dasar bani kamprey,1,1,0,1,0,0,0,0,1,0,1,0
185,user jelas sy bukan fitnah silah ban user apollinaris darmawan sebut alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
186,monyet aja koloe dbilang saudra sma elo ogah hdupmu kok gin ya toe hati apa comberan user,1,1,1,0,0,0,0,0,1,1,0,0
187,body lufra scrub dg bhn dasar lidah buaya utk mlembabkn kulit amp lbh bcahaya info bmi,0,0,0,0,0,0,0,0,0,0,0,0
188,user tak punya cacat masa lalu krn blum masa lalu,0,0,0,0,0,0,0,0,0,0,0,0
189,user user jangan anut bumi datar xfxfxxdnsoalnya teori bumi bulat kan orang asing yg notabane musuh,0,0,0,0,0,0,0,0,0,0,0,0
190,becak warga binjai hendak sita guna tenda tulis gantipresiden pks radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
191,lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
192,munas alim ulama ppp semarang hasil lima rekomendasi syarat kriteriakriteria calon wakil presiden akan damping bpk jokowi datang romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
193,user luar biasa cerah nya rasa gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
194,user user user user kafan asal budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
195,rezim skrg atas kendali negara cina komunis yg mjd patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
196,user user tanda nya mau pilkada n pilpres,0,0,0,0,0,0,0,0,0,0,0,0
197,misi bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nojabarasyik asyikmnang,0,0,0,0,0,0,0,0,0,0,0,0
198,tabah pasang en taufiq puan nurliyana wajar contoh jom beri sumbang ringan beban pasang come on twitter do your things bsn bank islam nurliyana bte abdul raziff,0,0,0,0,0,0,0,0,0,0,0,0
199,user apaansi tai baru gt doang belagunya udah langit ga inget karma ntar bbrp taun kalo idol lu flop gua ketawa paling keras,1,1,1,0,0,0,0,0,1,1,0,0
200,user user celeng kgn gw y,0,1,0,0,0,0,0,0,0,0,0,0
201,teranginegeri budaya yuk visit purwokerto mumpung even rakyat purwokerto extravaganzabanyumas,0,0,0,0,0,0,0,0,0,0,0,0
202,presiden punya dana taktis bisa guna penting rakyat luar program perintah sudah soal program banyak sekali bangun infrastruktur kip kis sertifikat tanah hutan sosial bbm harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
203,user aamiin allah ntimnya kan aja latih ular dia rawarawa aku dapat di sungai gede gt musuh buaya wkwkw,0,0,0,0,0,0,0,0,0,0,0,0
204,user user maju kamu ngatain mama aku bolot,1,1,1,0,0,0,0,0,1,1,0,0
